query_id,precision@3_base,recall@3_base,nDCG@3_base,precision@3_llm,recall@3_llm,nDCG@3_llm
1,0.6666666666666666,1.0,1.0,0.6666666666666666,1.0,0.6934264036172708
2,0.6666666666666666,0.6666666666666666,0.7653606369886217,0.3333333333333333,0.3333333333333333,0.2960819109658652
3,0.6666666666666666,0.6666666666666666,0.7653606369886217,1.0,1.0,1.0
4,0.3333333333333333,0.5,0.6131471927654584,0.6666666666666666,1.0,0.6934264036172708
5,0.3333333333333333,0.5,0.6131471927654584,0.6666666666666666,1.0,0.6934264036172708
6,0.6666666666666666,1.0,1.0,0.6666666666666666,1.0,1.0
7,0.6666666666666666,1.0,1.0,0.6666666666666666,1.0,1.0
8,0.6666666666666666,0.6666666666666666,0.7039180890341347,0.6666666666666666,0.6666666666666666,0.5307212739772434
9,1.0,1.0,1.0,0.6666666666666666,0.6666666666666666,0.7653606369886217
10,1.0,1.0,1.0,0.6666666666666666,0.6666666666666666,0.7653606369886217
11,0.6666666666666666,1.0,1.0,0.6666666666666666,1.0,0.9197207891481876
12,0.6666666666666666,1.0,0.9197207891481876,0.6666666666666666,1.0,0.9197207891481876
13,0.6666666666666666,1.0,1.0,0.6666666666666666,1.0,0.6934264036172708
14,0.3333333333333333,0.5,0.6131471927654584,0.6666666666666666,1.0,1.0
15,0.6666666666666666,1.0,1.0,0.6666666666666666,1.0,1.0
16,0.6666666666666666,1.0,1.0,0.6666666666666666,1.0,1.0
17,0.3333333333333333,0.3333333333333333,0.46927872602275644,0.6666666666666666,0.6666666666666666,0.7653606369886217
18,0.6666666666666666,1.0,1.0,0.6666666666666666,1.0,1.0
19,0.6666666666666666,1.0,1.0,0.6666666666666666,1.0,0.9197207891481876
20,0.6666666666666666,1.0,1.0,0.6666666666666666,1.0,0.6934264036172708
